path,list_name,number_of_items,actual_items,name_matches_country
/jul-og-nytaar/nytaars-rejser,Rejser til Frankrig,5,5,
/marokko/rabat,Rejser til Frankrig,1,1,0
/naturrejser/solfoermoerkelsesrejser,Rejser til Frankrig,3,3,
/polen/krakow,Rejser til Frankrig,1,1,
/spanien/madrid,Rejser til Frankrig,1,1,0
/naturrejser/haverejser,Rejser til Frankrig,6,6,
/musik-og-underholdning/koncert-rejser,Rejser til Frankrig,2,2,
/portugal/algarve,Rejser til Frankrig,3,3,0
/portugal/tavira,Rejser til Frankrig,3,3,0
/marokko/marrakech,Rejser til Frankrig,3,3,0
/marokko/tanger,Rejser til Frankrig,1,1,0
/oestrig/salzburg,Rejser til Frankrig,1,1,0
/portugal/porto,Rejser til Frankrig,8,8,0
/spanien/granada,Rejser til Frankrig,3,3,0
/portugal/azorerne,Rejser til Frankrig,2,2,0
/oestrig/wien,Rejser til Frankrig,1,1,0
/tjekkiet/prag,Rejser til Frankrig,1,1,
/oestrig/tyrol,Rejser til Frankrig,1,1,0
/kina/beijing,Rejser til Frankrig,3,3,
/serbien/beograd,Rejser til Frankrig,1,1,
/portugal/cascais,Rejser til Frankrig,3,3,0
/skotland/edinburgh,Rejser til Frankrig,2,2,0
/oestrig/innsbruck,Rejser til Frankrig,1,1,0
/spanien/bilbao,Rejser til Frankrig,4,4,0
/portugal/lissabon,Rejser til Frankrig,7,7,0
/spanien/andalusien,Rejser til Frankrig,5,5,0
/spanien/caminoen,Rejser til Frankrig,1,1,0
/spanien/granada/alhambra,Rejser til Frankrig,1,1,0
/bosnien/sarajevo,Rejser til Frankrig,1,1,
/litauen/vilnius,Rejser til Frankrig,1,1,
/letland/riga,Rejser til Frankrig,1,1,
/portugal/madeira,Rejser til Frankrig,9,9,0
/naturrejser/blomsterrejser,Rejser til Frankrig,8,8,
/england/bath,Rejser til Frankrig,1,1,0
/kroatien/trogir,Rejser til Frankrig,1,1,0
/tyrkiet/istanbul,Rejser til Frankrig,1,1,
/italien/rom,Rejser til Frankrig,2,2,0
/graekenland/athen,Rejser til Frankrig,4,4,0
/graekenland/peloponnes,Rejser til Frankrig,2,2,0
/italien/napoli,Rejser til Frankrig,2,2,0
/italien/syditalien,Rejser til Frankrig,9,9,0
/italien/gardasoeen,Rejser til Frankrig,3,3,0
/italien/norditalien,Rejser til Frankrig,5,5,0
/italien/verona,Rejser til Frankrig,1,1,0
/italien/venedig,Rejser til Frankrig,1,1,0
/italien/sicilien,Rejser til Frankrig,2,2,0
/italien/ravello,Rejser til Frankrig,4,4,0
/frankrig/normandiet,Rejser til Frankrig,1,1,1
/frankrig/provence,Rejser til Frankrig,2,2,1
