path,kind,departure_state,inbound_raw,inbound_contextual,outbound_contextual,depth_contextual,is_orphan,word_count
/,,,420,0,33,0,1,805
/afrika,,,14,14,12,2,0,2319
/albanien,,,420,4,6,2,0,2222
/albanien/autentiske-albanien,trip,A bookable online,13,13,6,2,0,2570
/armenien,,,420,3,3,2,0,1909
/asien,,,9,9,25,2,0,2920
/balkan,,,6,4,22,3,0,2316
/balkan/betagende-nord-balkan,trip,D empty (Afgange ikke tilgængelige),17,17,0,2,0,2887
/balkan/betagende-syd-balkan,trip,D empty (Afgange ikke tilgængelige),12,12,0,2,0,3617
/baltikum,,,5,4,11,3,0,1649
/baltikum/den-baltiske-odysse,trip,D empty (Afgange ikke tilgængelige),16,16,0,2,0,2443
/belgien,,,420,3,0,2,0,2105
/belgien/antwerpen,editorial-city,n/a — no departures section,0,0,7,,1,1948
/belgien/bruxelles,editorial-city,n/a — no departures section,0,0,6,,1,2241
/blog,,,420,2,67,1,0,2566
/blog/10-ting-du-ikke-vidste-om-portugal,,,1,1,9,2,0,300
/blog/4-ting-du-bor-se-i-madrid,,,1,1,7,2,0,1975
/blog/6-ting-du-bare-maa-opleve-paa-din-rejse-til-amalfikysten,,,1,1,7,2,0,1062
/blog/6-tips-til-at-planlaegge-vandreferien,,,3,3,6,2,0,680
/blog/baltikum-og-de-oversete-fortaellinger,,,1,1,8,2,0,907
/blog/barcelonas-bedste-bydele,,,1,1,3,2,0,1496
/blog/blomsterfestival-paa-madeira,,,1,1,3,2,0,276
/blog/caminito-del-rey-malaga-andalusien,,,1,1,2,2,0,396
/blog/cataloniens-mad-og-vin,,,3,3,6,2,0,1045
/blog/cinque-terre-fem-smaa-byer,,,1,1,11,2,0,1738
/blog/coimbra-portugals-gamle-universitetsby,,,1,1,2,2,0,368
/blog/dagbog-fra-madeira,,,1,1,6,2,0,3875
/blog/det-skaeve-taarn-i-pisa,,,1,1,2,2,0,622
/blog/det-specielle-guggenheim-museum-i-bilbao,,,1,1,2,2,0,643
/blog/dette-kan-du-ogsaa-opleve-paa-sicilien,,,1,1,8,2,0,2047
/blog/en-lidenskabelig-rejse-gennem-myternes-rige,,,1,1,5,2,0,919
/blog/en-rejseberetning-fra-sicilien,,,1,1,5,2,0,1566
/blog/en-rejseberetning-fra-toscana-og-umbrien,,,1,1,6,2,0,8101
/blog/fabelagtige-faeroeerne-en-rejseberetning,,,1,1,3,2,0,653
/blog/fra-sten-til-vin-pa-azorerne,,,1,1,2,2,0,444
/blog/funchal-atlanterhavets-kulturelle-skat,,,2,2,8,2,0,1967
/blog/graesk-vin-en-overset-perle,,,1,1,8,2,0,1175
/blog/h-c-andersen-paa-amalfikysten,,,1,1,11,2,0,1567
/blog/haverejser-og-havebegreber,,,1,1,3,2,0,666
/blog/jordan-en-rejseberetning,,,2,2,2,1,0,928
/blog/jul-og-nytaar-paa-madeira,,,1,1,3,2,0,288
/blog/kender-du-disse-tre-kirker-i-rom,,,1,1,2,2,0,1383
/blog/kroatien-en-personlig-kaerlighedshistorie,,,2,2,4,1,0,1076
/blog/kunst-og-kultur-under-renaessancen-i-italien,,,1,1,9,2,0,1580
/blog/mad-og-vin-i-italien,,,2,2,5,2,0,1865
/blog/mad-og-vin-i-porto,,,1,1,4,2,0,354
/blog/mad-og-vin-i-portugal,,,2,2,5,2,0,507
/blog/madeira-vejr-og-klima,,,1,1,7,2,0,917
/blog/middelhavsoen-malta,,,1,1,6,2,0,2191
/blog/moderne-kulturturisme-arkaeologiens-muligheder,,,1,1,10,2,0,1468
/blog/ni-ting-at-se-i-lucca,,,1,1,11,2,0,3757
