path,country,kind,departure_state,has_departures_section,has_waitlist_section,book_cta_is_anchor,booking_links,has_price,price_min,word_count,has_product_schema,title_len,meta_desc_len
/italien/madlavningskursus-paa-amalfikysten,italien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2443,1,54,139
/england/haverejse-i-det-sydoestlige-england,england,trip,A bookable online,1,1,1,1,1,12995,3880,1,47,151
/spanien/autentiske-catalonien-og-costa-brava,spanien,trip,A bookable online,1,1,1,4,1,10495,3034,1,67,131
/oestrig/kultur-i-alperne,oestrig,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,1759,1,59,150
/portugal/jul-paa-madeira,portugal,trip,A bookable online,1,1,1,1,1,13995,3708,1,51,157
/frankrig/paris-mon-amour-storbyliv-og-stemning-paa-seinen,frankrig,trip,A bookable online,1,1,1,1,1,7995,1924,1,50,137
/egypten/cairo-og-nilkrydstogt,egypten,trip,A bookable online,1,1,1,4,1,18999,5489,1,51,149
/italien/amalfikysten-til-foraarspris,italien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3832,1,53,147
/vietnam/det-bedste-af-vietnam,vietnam,trip,A bookable online,1,1,1,1,1,24499,3530,1,53,157
/thailand/thailand-smilets-land,thailand,trip,A bookable online,1,1,1,2,1,25999,3879,1,44,150
/italien/det-ukendte-norditalien,italien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2659,1,54,127
/portugal/nytaar-i-porto,portugal,trip,A bookable online,1,1,1,1,1,10995,2842,1,45,152
/italien/kulinariske-vandringer-paa-amalfikysten-september-2026,italien,trip,A bookable online,1,1,1,2,1,8995,3989,1,63,188
/sverige/gotland-svensk-sommeridyl,sverige,trip,A bookable online,1,1,1,1,1,9995,2339,1,54,175
/flodkrydstogter/flodkrydstogt-paa-rhone-floden,flodkrydstogter,trip,A bookable online,1,1,1,1,1,17995,3431,1,64,134
/spanien/andalusiens-lys-med-cadiz-og-sevilla,spanien,trip,A bookable online,1,1,1,2,1,12995,3313,1,58,164
/portugal/nytaarsrejse-til-lissabon,portugal,trip,A bookable online,1,1,1,1,1,9995,2368,1,59,176
/portugal/mageloese_madeira_med_blomsterfestival,portugal,trip,A bookable online,1,1,1,1,1,13495,3946,1,68,183
/spanien/solformoerkelse-i-spanien-med-astrofysiker-michael-linden-voernle,spanien,trip,D empty (Afgange ikke tilgængelige),1,0,1,0,0,,2038,1,60,157
/spanien/solformoerkelse-i-spanien-bilbao,spanien,trip,D empty (Afgange ikke tilgængelige),1,0,1,0,0,,2018,1,58,179
/italien/amalfi-a-la-carte,italien,trip,A bookable online,1,1,1,9,1,8995,4654,1,68,159
/sri-lanka/sri-lanka-for-livsnydere,sri-lanka,trip,A bookable online,1,1,1,1,1,20995,3706,1,48,168
/flodkrydstogter/flodkrydstogt-paa-rhone-floden-2027,flodkrydstogter,trip,"E departures section, no visible state",1,1,1,0,1,17995,3425,1,64,134
/sydafrika/sydafrika-for-livsnydere,sydafrika,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3462,1,61,167
/spanien/rundrejse-i-andalusien-med-tog,spanien,trip,A bookable online,1,1,1,1,1,12995,3373,1,56,146
