path,kind,ldjson_blocks,top_level,nested,error
/italien/madlavningskursus-paa-amalfikysten,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Offer|Organization|Product|SearchAction|WebSite,
/england/haverejse-i-det-sydoestlige-england,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/spanien/autentiske-catalonien-og-costa-brava,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Offer|Organization|Product|SearchAction|WebSite,
/oestrig/kultur-i-alperne,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Organization|Product|SearchAction|WebSite,
/portugal/jul-paa-madeira,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/frankrig/paris-mon-amour-storbyliv-og-stemning-paa-seinen,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Offer|Organization|Product|SearchAction|WebSite,
/egypten/cairo-og-nilkrydstogt,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/italien/amalfikysten-til-foraarspris,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Organization|Product|SearchAction|WebSite,
/vietnam/det-bedste-af-vietnam,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/thailand/thailand-smilets-land,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/italien/det-ukendte-norditalien,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Offer|Organization|Product|SearchAction|WebSite,
/portugal/nytaar-i-porto,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/italien/kulinariske-vandringer-paa-amalfikysten-september-2026,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/sverige/gotland-svensk-sommeridyl,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Offer|Organization|Product|SearchAction|WebSite,
/flodkrydstogter/flodkrydstogt-paa-rhone-floden,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/spanien/andalusiens-lys-med-cadiz-og-sevilla,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Offer|Organization|Product|SearchAction|WebSite,
/portugal/nytaarsrejse-til-lissabon,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/portugal/mageloese_madeira_med_blomsterfestival,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/spanien/solformoerkelse-i-spanien-med-astrofysiker-michael-linden-voernle,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Organization|Product|SearchAction|WebSite,
/spanien/solformoerkelse-i-spanien-bilbao,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Organization|Product|SearchAction|WebSite,
/italien/amalfi-a-la-carte,trip,4,BreadcrumbList|Organization|Product|WebSite,AggregateOffer|BreadcrumbList|ListItem|Offer|Organization|Product|SearchAction|WebSite,
/sri-lanka/sri-lanka-for-livsnydere,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
/flodkrydstogter/flodkrydstogt-paa-rhone-floden-2027,trip,5,BreadcrumbList|FAQPage|Organization|Product|WebSite,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,
